candidate,start_date,end_date,start_decade,final_multiple,cagr,max_drawdown
G15_noGoldEquiv,1986-09,2016-08,1980s,13.1548,8.969,28.53
allocation_noGoldEquiv,1986-09,2016-08,1980s,22.3505,10.911,29.57
A_Current,1986-10,2016-09,1980s,25.4543,11.393,48.29
G15_noGoldEquiv,1986-10,2016-09,1980s,13.7589,9.132,28.96
allocation_noGoldEquiv,1986-10,2016-09,1980s,23.1620,11.043,29.94
A_Current,1986-11,2016-10,1980s,25.2727,11.367,48.30
G15_noGoldEquiv,1986-11,2016-10,1980s,13.5395,9.074,29.24
allocation_noGoldEquiv,1986-11,2016-10,1980s,22.9827,11.015,28.78
A_Current,1986-12,2016-11,1980s,25.8805,11.455,48.17
G15_noGoldEquiv,1986-12,2016-11,1980s,13.6046,9.091,29.05
allocation_noGoldEquiv,1986-12,2016-11,1980s,23.0576,11.027,28.63
A_Current,1987-01,2016-12,1980s,27.0178,11.615,47.78
G15_noGoldEquiv,1987-01,2016-12,1980s,14.2615,9.263,28.32
allocation_noGoldEquiv,1987-01,2016-12,1980s,23.9297,11.164,28.13
A_Current,1987-02,2017-01,1980s,25.1697,11.351,48.14
G15_noGoldEquiv,1987-02,2017-01,1980s,13.5638,9.080,29.21
allocation_noGoldEquiv,1987-02,2017-01,1980s,22.8759,10.997,28.81
A_Current,1987-03,2017-02,1980s,24.5259,11.255,47.83
G15_noGoldEquiv,1987-03,2017-02,1980s,13.5263,9.070,28.48
allocation_noGoldEquiv,1987-03,2017-02,1980s,22.7666,10.980,28.59
A_Current,1987-04,2017-03,1980s,23.7689,11.139,48.07
G15_noGoldEquiv,1987-04,2017-03,1980s,13.3689,9.028,28.58
allocation_noGoldEquiv,1987-04,2017-03,1980s,22.4611,10.930,29.59
A_Current,1987-05,2017-04,1980s,23.9934,11.174,47.94
G15_noGoldEquiv,1987-05,2017-04,1980s,13.1416,8.965,28.04
allocation_noGoldEquiv,1987-05,2017-04,1980s,22.0386,10.859,29.10
A_Current,1987-06,2017-05,1980s,23.6484,11.120,47.79
G15_noGoldEquiv,1987-06,2017-05,1980s,12.9239,8.905,27.52
allocation_noGoldEquiv,1987-06,2017-05,1980s,21.6631,10.796,28.66
